cid,Probability of nonactivity,Probability of activity
1362195,0.70556843,0.29443154
7464993,0.70556843,0.29443154
5343060,0.70556843,0.29443154
286481,0.70556843,0.29443154
7464989,0.70556843,0.29443154
131846216,0.7056411,0.2943589
196710,0.7056452,0.29435477
14806063,0.7056452,0.29435477
453657,0.7057073,0.2942927
11812423,0.7058052,0.2941948
121486900,0.7059489,0.2940511
483946,0.70604897,0.293951
5272749,0.70605516,0.29394484
57349456,0.70615005,0.29384992
121487053,0.70632124,0.29367876
492409,0.7063287,0.2936713
131881293,0.7063551,0.29364488
62898796,0.7064972,0.29350284
5271960,0.7064982,0.2935018
16094546,0.7065078,0.2934922
9824370,0.7065759,0.2934241
121219148,0.70662916,0.29337084
10872387,0.70692205,0.29307795
66608846,0.7069279,0.29307213
138375992,0.7069413,0.2930587
26974701,0.70711565,0.29288432
137189782,0.7072165,0.29278347
5274310,0.70729953,0.29270047
12803287,0.7074325,0.29256746
133135,0.7075699,0.2924301
3007131,0.707828,0.292172
92132221,0.707881,0.292119
6451965,0.707881,0.292119
134693185,0.707881,0.292119
12873547,0.707881,0.292119
11697484,0.7078932,0.2921068
476466,0.7079041,0.29209593
152488,0.7079369,0.29206312
3003718,0.7079679,0.29203215
460320,0.70797336,0.2920266
22844922,0.707986,0.29201397
135464489,0.7081653,0.2918347
124295,0.7082809,0.2917191
5271380,0.7082809,0.2917191
45484443,0.7082809,0.29171905
21818173,0.7083259,0.29167408
92243772,0.7083259,0.29167408
3037739,0.7084116,0.29158843
135509071,0.7084162,0.29158378
3042985,0.70849204,0.29150793
15119214,0.7085666,0.2914334
451888,0.70877266,0.29122737
135618603,0.70884967,0.29115033
21625759,0.7088685,0.29113147
5278280,0.7089184,0.2910816
76973368,0.7090404,0.29095957
42553079,0.70914847,0.29085153
42553078,0.70914847,0.29085153
6479249,0.70918405,0.29081595
479691,0.70925486,0.29074514
13711969,0.7093353,0.29066464
3010355,0.70953274,0.2904673
136030678,0.70960116,0.29039884
136921544,0.7096492,0.29035082
100795272,0.70966434,0.29033569
135508096,0.7096884,0.29031155
447069,0.70976424,0.29023576
21145447,0.7098211,0.29017892
516053,0.7098214,0.2901786
121487314,0.7098309,0.29016915
492559,0.7098629,0.2901371
136643516,0.7098986,0.2901014
121487134,0.71000695,0.28999302
71371189,0.7100748,0.28992525
69538220,0.7101199,0.2898801
25157838,0.7102692,0.2897308
6478358,0.7102933,0.2897067
500918,0.71030444,0.28969556
23391556,0.7103239,0.28967607
13009730,0.71036446,0.2896355
3901376,0.71036446,0.2896355
92279507,0.7104121,0.28958791
92279509,0.7104121,0.28958791
57223801,0.7104121,0.28958791
191942,0.71042067,0.28957933
92246004,0.7105228,0.28947723
3010384,0.7105228,0.28947723
67331935,0.7106413,0.28935868
10764891,0.710646,0.28935403
139086336,0.7108089,0.2891911
10687208,0.71099764,0.28900236
76974600,0.71102643,0.28897354
472814,0.7110332,0.2889668
6475236,0.7110332,0.2889668
56987376,0.7112527,0.2887473
11232828,0.71130353,0.28869647
586070,0.71130353,0.28869647
121217034,0.71132046,0.28867954
91668475,0.71140784,0.28859216
121217181,0.71150064,0.2884994
515103,0.71175396,0.288246
452277,0.7117652,0.28823477
3010291,0.71181226,0.2881877
42637091,0.7118259,0.2881741
44250004,0.71195185,0.28804812
22787949,0.7120505,0.2879495
136257920,0.71209955,0.28790042
12067880,0.71231055,0.28768948
159480,0.7123113,0.28768867
71315456,0.7123338,0.28766623
139024324,0.7123338,0.28766623
136415743,0.7124189,0.28758112
3005556,0.71241975,0.28758025
92970665,0.71246254,0.28753746
11501773,0.7126886,0.28731138
5272752,0.7127453,0.2872547
121228750,0.7127466,0.28725338
10019998,0.71295136,0.28704864
5289307,0.71306425,0.28693575
17754151,0.71306425,0.28693575
6481845,0.7131661,0.28683385
71380931,0.71319616,0.2868038
499785,0.7132271,0.2867729
3011899,0.7132399,0.28676006
135446908,0.71335566,0.28664434
15277828,0.71339226,0.2866077
6480473,0.7134472,0.28655276
481517,0.7134726,0.2865274
6595777,0.71352124,0.28647873
96547,0.71352124,0.28647873
92271256,0.71364284,0.28635713
121216763,0.71365094,0.2863491
54515638,0.7136542,0.28634578
130209,0.71368396,0.28631607
128866,0.713715,0.28628498
53774252,0.7137379,0.2862621
6451079,0.7139087,0.28609133
6450904,0.71396387,0.28603616
50989698,0.71396387,0.28603616
135823809,0.7140417,0.28595826
18653297,0.71422005,0.28577995
3037666,0.7143421,0.28565788
53963604,0.7143433,0.28565672
5279533,0.71442795,0.28557208
13830104,0.71446,0.28554
453994,0.7146536,0.2853464
355900,0.7146536,0.2853464
12799571,0.71469337,0.28530663
14367026,0.7147287,0.2852713
466022,0.7147685,0.28523144
156588741,0.71478546,0.2852145
131878154,0.7149141,0.28508592
121217573,0.7149141,0.28508592
135538725,0.7153332,0.2846668
121487118,0.71535534,0.28464466
131877226,0.71536845,0.28463155
14430355,0.7154403,0.28455973
331904,0.7154403,0.28455973
3005966,0.71544886,0.28455117
10019708,0.71549726,0.28450277
472638,0.71559143,0.2844086
472656,0.71559143,0.2844086
125508952,0.7156602,0.28433982
71421156,0.7157229,0.28427708
135526591,0.7157793,0.28422073
136270978,0.715797,0.284203
92236341,0.7158946,0.28410542
189213,0.7159312,0.28406885
3063029,0.71601474,0.2839853
139025196,0.71615386,0.28384617
482632,0.7165004,0.28349957
137185205,0.71664405,0.28335598
3007218,0.7167108,0.28328922
6454581,0.7167499,0.28325012
25113134,0.71693337,0.28306666
