cid,Probability of nonactivity,Probability of activity
137221145,0.5030873,0.49691272
12787947,0.5030885,0.49691153
135768196,0.50309074,0.4969093
494271,0.5030922,0.49690777
130775,0.5030932,0.49690682
98911,0.50309503,0.49690494
6918133,0.50309515,0.49690482
73351959,0.50309575,0.49690428
54506098,0.50309664,0.49690336
12883711,0.50310344,0.49689656
45033563,0.50310344,0.49689656
6565903,0.50310344,0.49689656
459896,0.50310344,0.49689656
12358445,0.5031042,0.49689576
7035901,0.5031042,0.49689576
5901,0.5031042,0.49689576
16226669,0.5031042,0.49689576
59116124,0.5031042,0.49689576
25796514,0.5031042,0.49689576
374116,0.5031077,0.49689227
121487124,0.5031077,0.49689227
121487127,0.5031077,0.49689227
488249,0.5031077,0.49689227
7308567,0.5031079,0.4968921
134481,0.5031079,0.4968921
135434850,0.50311005,0.49688992
71366478,0.50311327,0.49688676
494096,0.50311387,0.4968861
92236670,0.50311387,0.4968861
51360252,0.50311756,0.49688244
121487114,0.5031219,0.4968781
6913097,0.50312495,0.49687502
456570,0.50313133,0.49686867
135602220,0.50313157,0.49686843
454001,0.50313425,0.49686572
154705590,0.5031377,0.49686232
129384392,0.5031411,0.4968589
10467778,0.50314134,0.49685866
3006622,0.50314134,0.49685866
123590929,0.50314164,0.49685833
3037667,0.50314164,0.49685833
129318777,0.50314236,0.4968576
3081517,0.50314605,0.49685395
101926865,0.5031475,0.4968525
71352076,0.5031477,0.4968523
324745,0.50314784,0.4968522
135542427,0.5031481,0.4968519
121487492,0.5031514,0.49684855
260474,0.50315607,0.49684396
11163152,0.50315607,0.49684396
146674821,0.5031564,0.4968436
118796809,0.50315803,0.49684197
10092318,0.503159,0.496841
54010782,0.5031592,0.49684078
14826131,0.5031632,0.49683678
494284,0.5031647,0.4968353
121486948,0.50316817,0.49683183
131846216,0.50317085,0.49682918
512675,0.5031713,0.49682865
135567131,0.50317276,0.49682724
173318,0.50317335,0.49682665
6441858,0.50317335,0.49682665
136229414,0.5031771,0.4968229
102088575,0.50317746,0.49682254
3005549,0.50317824,0.49682176
21854430,0.50317895,0.49682102
10778286,0.5031792,0.49682078
5272752,0.5031804,0.4968196
503109,0.5031805,0.49681947
470800,0.5031829,0.4968171
19362123,0.50318295,0.49681705
156588711,0.5031892,0.49681082
