cid,Probability of nonactivity,Probability of activity
73351959,0.68682814,0.3131719
464363,0.6872699,0.31273007
131854439,0.6876127,0.3123873
5272748,0.6879397,0.3120603
5272750,0.6879579,0.31204212
280444,0.68796146,0.31203854
9881866,0.68796146,0.31203854
136020842,0.6892015,0.3107985
15955042,0.6894143,0.31058568
11558298,0.6894697,0.3105303
289971,0.6895131,0.31048688
448403,0.6895131,0.31048688
22838430,0.68959945,0.31040055
131884919,0.6902576,0.3097424
92286289,0.6903632,0.30963677
121487110,0.6903899,0.3096101
477017,0.6903899,0.3096101
477016,0.6903899,0.3096101
6481568,0.69054615,0.30945385
451832,0.6911353,0.30886474
6483432,0.6913835,0.30861652
542606,0.69145024,0.30854976
129893514,0.6917386,0.3082614
128557,0.6917696,0.30823043
136803255,0.6919371,0.30806294
121486905,0.692332,0.307668
352589,0.69235295,0.30764705
135625314,0.69248104,0.30751893
121487096,0.6925014,0.3074986
177273,0.69257736,0.3074226
466420,0.69257736,0.3074226
59783293,0.69257736,0.3074226
96889965,0.69257736,0.3074226
100253,0.69257736,0.3074226
321729,0.69257736,0.3074226
11065470,0.69257736,0.3074226
44240813,0.69257736,0.3074226
10589260,0.69278175,0.30721825
15928607,0.6928024,0.30719754
6479133,0.6929078,0.30709222
481530,0.69291484,0.30708516
71420849,0.69301045,0.30698952
121219148,0.6930274,0.3069726
490264,0.69317675,0.30682328
54075693,0.6932447,0.30675527
24885222,0.6934819,0.30651808
13009595,0.69350773,0.30649227
6858204,0.693524,0.306476
211875,0.69382584,0.3061742
67327211,0.6938743,0.3061257
71351698,0.6939263,0.30607373
118703664,0.6942183,0.3057817
11311503,0.6942183,0.3057817
58455422,0.6942183,0.3057817
58463518,0.6942183,0.3057817
57453626,0.6942183,0.3057817
118703665,0.6942183,0.3057817
134715536,0.694308,0.30569202
119051,0.69432116,0.30567884
3010356,0.6943599,0.3056401
