cid,GATS5m,GATS8p,MATS7i,nCt,nRCOOR
135422928,0.6705308091125052,0.4029533158733591,0.7192082845539443,0.0,0.0
25257896,0.5955006602702919,0.3466693584092411,0.4673087113198994,0.1428571428571428,0.0
44590599,0.6024945459280663,0.2339532595261969,0.4616399857833878,0.1428571428571428,0.0
15954514,0.5562903864046377,0.329038499670389,0.6831672603346073,0.4285714285714285,0.0
44140465,0.3242884453092222,0.2693620453777276,0.4188263382559334,0.0,0.0
11579992,0.5416189186208932,0.2874184323358748,0.6874944587854168,0.0,0.0
67781638,0.5924686892165807,0.2593611621598329,0.5204014769624153,0.7142857142857142,0.0
11120681,0.5484862688193115,0.3255092964817682,0.6526491236538776,0.0,0.0
493054,0.6847966578660423,0.3407158216432069,0.8201243685826117,0.0,0.0
155517451,0.5213109117145723,0.3480436130722892,0.7119529024550725,0.1428571428571428,0.0
137661992,0.6966381369453364,0.4462836396800813,0.7365806964670562,0.1428571428571428,0.5
60167179,0.4760042354590404,0.3715168133480448,0.6370729492901661,0.0,0.0
44576695,0.536755844503071,0.3294902573913993,0.6378618569171274,0.0,0.0
164628867,0.5230313754830406,0.3055145724434944,0.5775908010865236,0.0,0.0
16732576,0.6558624487240542,0.0,0.148364265604903,0.0,0.0
145985709,0.6408852703613631,0.2706650762170321,0.4514653745258093,0.0,0.0
145957212,0.5175007022577225,0.305392733145616,0.4045475827390117,0.0,0.0
70685525,0.5445883610471528,0.4391692338562626,0.554401856901903,0.0,0.0
137638700,0.7658169753739481,0.3847361933378724,0.8126733994466601,0.1428571428571428,0.25
60167326,0.5004180396103798,0.3659239049482579,0.574765495519957,0.0,0.0
44416677,0.5828084928532716,0.3595968779367071,0.7074695677726057,0.1428571428571428,0.0
137652939,0.7419366142985039,0.3881169284861877,0.7683679474117685,0.1428571428571428,0.25
5272231,0.7845514148432595,0.333188675832083,0.5702497962017127,0.0,0.0
25257441,0.674097756344454,0.2895929298813028,0.4676570931760612,0.1428571428571428,0.0
401639,0.7624343343462162,0.2825863520891437,0.4588823141350492,0.0,0.0
145990374,0.5933882222146841,0.4512648624502784,0.4331793562845246,0.1428571428571428,0.0
457954,0.7646206077445072,0.2174444730254836,0.2521238756074765,0.0,0.0
122192832,0.2324612285025441,0.2694638104102789,0.5386013709070924,0.0,0.0
127032156,0.5697463802878124,0.3222387367266608,0.522679940884344,0.1428571428571428,0.0
136130200,0.4154601822721529,0.006326526853836,0.3016303638789713,0.0,0.0
480981,0.5158490558109677,0.3155840972675314,0.5968594259482607,0.0,0.0
5272230,0.7392988464498571,0.3141114284535109,0.5303878152288225,0.0,0.0
493487,0.4881615044317917,0.335592647379471,0.6130109756284311,0.0,0.0
492109,0.5326410527109312,0.339762717299382,0.5911393068953569,0.0,0.0
25257676,0.5927752311223008,0.3038216802499235,0.4428676098485888,0.1428571428571428,0.0
5270689,0.5031930410421438,0.2193228284261998,0.5097448788196502,0.0,0.0
60172,0.6655550459027532,0.2570398992028767,0.7006799791531435,0.0,0.0
137648967,0.6001774466042961,0.2664519706872931,0.4672089600115652,0.0,0.0
162672687,0.5355808865901908,0.3329264685370308,0.6550657838640694,0.0,0.5
134382943,0.7080456404523171,0.2489624097559872,0.401290710212757,0.0,0.0
11438492,0.436211709913158,0.5740132659309888,0.5720011099316852,0.1428571428571428,0.0
470131,0.6265043261188359,0.313064602818304,0.4935664007101205,0.1428571428571428,0.0
122192837,0.2298401374531833,0.2903466119920408,0.4817796928724621,0.0,0.0
488247,0.5203632173630904,0.3308311919723706,0.5090836615297133,0.0,0.0
168289885,0.4856258538548909,0.3087633971483796,0.6131084078155605,0.0,0.5
162647843,0.4657375778369677,0.3444484803893673,0.6230140085432272,0.0,0.5
44378813,0.5533969220359559,0.2743992282392609,0.4989655721086456,0.1428571428571428,0.0
137661965,0.7137433764229102,0.3954416373967689,0.6854017178240086,0.0,0.5
480977,0.6174965749116569,0.264710399572867,0.5688825578017466,0.0,0.0
136219328,0.4321739184102199,0.6758952280080225,0.7188028431956146,0.0,0.0
44378905,0.5078369983889104,0.2636547264989847,0.6218521029212213,0.0,0.0
45487935,0.4878870511388875,0.3368917348992414,0.5807008057537243,0.0,0.0
25257439,0.6806884496671981,0.3112688620037694,0.5646091401077952,0.1428571428571428,0.0
25257206,0.6963021633675187,0.2532935978441981,0.637089622862743,0.1428571428571428,0.0
162668872,0.4462927490103258,0.3369259405052707,0.679367636443326,0.0,0.5
20841912,0.518892220039182,0.2391336001885699,0.3435002139362113,0.0,0.0
25257679,0.667448843970415,0.3267602670132526,0.4243459355231409,0.2857142857142857,0.0
135541417,0.5297705437208854,0.3996277889745158,0.6931523112748188,0.0,0.0
137640683,0.7540150418975478,0.3860748526494908,0.6522683200251598,0.2857142857142857,0.5
