cid,Activite,IsomericSMILES,Canonical_smiles
44438042,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC=CC=C4O,Cc1cc(-c2ccccc2O)cn2c(CSCCc3ccccc3)cnc12
44438055,0,CC1=CN2C(=CN=C2C(=C1)C3=CC(=CC=C3)F)CSCCC4=CC=CC=C4,Cc1cc(-c2cccc(F)c2)c2ncc(CSCCc3ccccc3)n2c1
44438043,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC(=CC=C4)O,Cc1cc(-c2cccc(O)c2)cn2c(CSCCc3ccccc3)cnc12
44438052,0,CC1=CN2C(=CN=C2C(=C1)C3=CC(=CC=C3)[N+](=O)[O-])CSCCC4=CC=CC=C4,Cc1cc(-c2cccc([N+](=O)[O-])c2)c2ncc(CSCCc3ccccc3)n2c1
44438054,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC=C(C=C4)C#N,Cc1cc(-c2ccc(C#N)cc2)cn2c(CSCCc3ccccc3)cnc12
44438033,0,CC1=CN2C(=CN=C2C(=C1)I)CSCCC3=CC=CC=C3,Cc1cc(I)c2ncc(CSCCc3ccccc3)n2c1
44438048,0,CC1=CN2C(=CN=C2C(=C1)C3=CC(=CC=C3)OC)CSCCC4=CC=CC=C4,COc1cccc(-c2cc(C)cn3c(CSCCc4ccccc4)cnc23)c1
44438050,0,CC1=CN2C(=CN=C2C(=C1)C3=CC=C(C=C3)OC)CSCCC4=CC=CC=C4,COc1ccc(-c2cc(C)cn3c(CSCCc4ccccc4)cnc23)cc1
23661573,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)I,Cc1cc(I)cn2c(CSCCc3ccccc3)cnc12
44438035,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)Br,Cc1cc(Br)cn2c(CSCCc3ccccc3)cnc12
44438044,0,CC1=CN2C(=CN=C2C(=C1)C3=CC(=CC=C3)O)CSCCC4=CC=CC=C4,Cc1cc(-c2cccc(O)c2)c2ncc(CSCCc3ccccc3)n2c1
16754951,0,CC(C)(C)C(=O)OCOP1(=O)CO[C@H](CO1)CN2C=NC(=NC2=O)N,CC(C)(C)C(=O)OCOP1(=O)CO[C@@H](Cn2cnc(N)nc2=O)CO1
122873,0,C1[C@@H](OCP(=O)(O1)O)CN2C=CC(=NC2=O)N,Nc1ccn(C[C@H]2COP(=O)(O)CO2)c(=O)n1
135993365,0,C1=C([C@H]([C@H]([C@@H]1C2=CNC3=C2N=C(NC3=O)N)O)O)CO,Nc1nc2c([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c[nH]c2c(=O)[nH]1
16126689,0,C1=C([C@H]([C@H]([C@@H]1C2=CNC3=C2N=CN=C3N)O)O)CO,Nc1ncnc2c([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c[nH]c12
