cid,Probability of nontox,Probability of tox
134714751,0.8144564215434787,0.18554357845652122
47751,0.8144564215434789,0.1855435784565211
45357134,0.8144564215434789,0.1855435784565211
1265902,0.8144564215434789,0.1855435784565211
12907243,0.8144564215434789,0.1855435784565211
44629846,0.8144564215434789,0.1855435784565211
14842983,0.8144731164375495,0.1855268835624505
469089,0.8145471067585778,0.1854528932414222
145710203,0.8145675589686966,0.18543244103130338
160155,0.8145895189197137,0.18541048108028632
12805651,0.8145895189197139,0.1854104810802861
14539818,0.8146203276602051,0.18537967233979485
54096233,0.8146971477983487,0.18530285220165135
121487449,0.8147306605788613,0.1852693394211387
451393,0.8147750121928585,0.18522498780714142
146013109,0.8148208556722057,0.18517914432779428
121216248,0.8148586552913313,0.18514134470866878
14237009,0.814970723465609,0.18502927653439102
10061136,0.8150088881150336,0.1849911118849664
11243021,0.8151137998147481,0.18488620018525195
5271953,0.8151680529554182,0.18483194704458186
10754350,0.8153122119977594,0.1846877880022406
9900146,0.8153229373984835,0.18467706260151653
374108,0.8153229373984836,0.1846770626015164
54136175,0.8153801485454464,0.1846198514545536
92233230,0.8153801485454464,0.1846198514545536
559992,0.8154929430856963,0.18450705691430366
150619,0.8155158576297438,0.18448414237025626
453036,0.815552608337591,0.18444739166240895
516467,0.815585703283057,0.184414296716943
146013745,0.8156077015960059,0.1843922984039941
90356982,0.8156367495446483,0.1843632504553517
386500,0.8157324202662339,0.18426757973376612
129126,0.8157790593961345,0.18422094060386549
451368,0.8157917273056308,0.1842082726943692
20584074,0.815802858214804,0.18419714178519597
3082183,0.815802858214804,0.18419714178519597
102601363,0.8158104912221966,0.18418950877780338
15689308,0.8158338017072558,0.18416619829274414
59628352,0.8158340819098411,0.18416591809015892
121216232,0.8158823345278685,0.18411766547213143
512003,0.8158872007387432,0.1841127992612568
500903,0.8159555423267816,0.18404445767321845
13830457,0.8159555423267816,0.18404445767321845
137705912,0.8159555423267817,0.18404445767321828
510970,0.8159713839042306,0.18402861609576934
514810,0.816054750184473,0.183945249815527
162641488,0.8160908120397216,0.18390918796027847
137004572,0.8161508385002811,0.18384916149971886
451849,0.8163895918238729,0.18361040817612706
453629,0.8164623515822316,0.1835376484177684
45051921,0.8165196201255418,0.18348037987445817
66689989,0.8166182194038485,0.18338178059615154
193604,0.8166938258346805,0.1833061741653195
123262984,0.8167828634361147,0.18321713656388525
121487095,0.8168040095762547,0.18319599042374532
14991719,0.8168040095762548,0.1831959904237453
14331714,0.8168368354371187,0.18316316456288131
54166782,0.8168731913312872,0.18312680866871275
4393085,0.8169153847960934,0.1830846152039066
69906586,0.8169234311586692,0.18307656884133086
59504008,0.8169364911791076,0.18306350882089237
59504120,0.8169364911791076,0.18306350882089237
59504149,0.8169364911791076,0.18306350882089237
13041867,0.8170200756772595,0.1829799243227405
10977646,0.817036826246447,0.18296317375355295
