cid,Probability of nonactivity,Probability of activity
54537864,0.41555303,0.58444697
155886478,0.41555303,0.58444697
14727679,0.4156869,0.5843131
66906535,0.41585028,0.5841497
11749237,0.41659224,0.58340776
134067785,0.41669565,0.58330435
11825687,0.41673785,0.58326215
512136,0.41683024,0.58316976
22818440,0.4168929,0.5831071
154716223,0.41695768,0.5830423
163285340,0.41695768,0.5830423
10828395,0.4171784,0.5828216
92258444,0.4171784,0.5828216
512590,0.41778618,0.5822138
13830101,0.417885,0.582115
21829242,0.41817182,0.5818282
584362,0.41832465,0.58167535
69626224,0.41938132,0.5806187
11778706,0.41938132,0.5806187
92132405,0.41938132,0.5806187
490684,0.41951108,0.5804889
69726377,0.41961586,0.58038414
92231374,0.41961586,0.58038414
248869,0.41961586,0.58038414
168948,0.41961586,0.58038414
15612856,0.4205076,0.5794924
310052,0.4205076,0.5794924
53965194,0.42096728,0.5790327
21139624,0.42096728,0.5790327
18731516,0.4213469,0.5786531
97235,0.4215427,0.5784573
92244157,0.4215427,0.5784573
16076142,0.42192304,0.57807696
131849184,0.42221105,0.57778895
13965967,0.42229348,0.5777065
10446489,0.4223985,0.5776015
5271018,0.42337155,0.57662845
16076141,0.42385083,0.57614917
167821,0.42399794,0.57600206
92131873,0.4240029,0.5759971
56983870,0.4240029,0.5759971
122360558,0.4240029,0.5759971
6481827,0.4240029,0.5759971
82530,0.4240029,0.5759971
121486885,0.42434335,0.57565665
131855105,0.4244638,0.5755362
130209,0.42450124,0.57549876
504749,0.4251538,0.5748462
504747,0.4253835,0.5746165
6481834,0.42576867,0.5742313
18632917,0.42693847,0.5730615
21787858,0.42713684,0.57286316
15168256,0.42747456,0.57252544
57368267,0.4278896,0.5721104
13989347,0.4278896,0.5721104
492559,0.42792588,0.5720741
490622,0.4280308,0.5719692
129864,0.42803657,0.5719634
5272657,0.4281003,0.5718997
512717,0.42817247,0.57182753
155903787,0.42828482,0.5717152
6482630,0.42954057,0.5704594
68742335,0.4296478,0.5703522
12800105,0.42977005,0.57022995
21820463,0.42977005,0.57022995
65102,0.42977005,0.57022995
58834006,0.42977005,0.57022995
15938966,0.42993337,0.57006663
100938413,0.43003315,0.56996685
54165040,0.43041366,0.56958634
494217,0.4308831,0.5691169
131882637,0.4308831,0.5691169
91084800,0.4311648,0.5688352
10198304,0.4316976,0.5683024
13993514,0.4316976,0.5683024
131865813,0.4318815,0.5681185
16395540,0.43192905,0.56807095
56987376,0.43197244,0.56802756
11119839,0.4323151,0.5676849
21140569,0.4324907,0.5675093
131880518,0.43273765,0.56726235
11957496,0.43287086,0.56712914
9879442,0.43287086,0.56712914
44398142,0.43287086,0.56712914
15573114,0.43287086,0.56712914
44629847,0.43287086,0.56712914
15573115,0.43287086,0.56712914
8974,0.43287086,0.56712914
6603778,0.43287086,0.56712914
40488632,0.43287086,0.56712914
49784438,0.43314898,0.566851
3011898,0.43390673,0.56609327
29921449,0.43426716,0.56573284
501517,0.43472236,0.56527764
14132953,0.43495166,0.56504834
128656,0.43586963,0.56413037
22880808,0.43604183,0.56395817
11723585,0.43606544,0.56393456
128771,0.43673253,0.56326747
100416,0.43676704,0.56323296
6476927,0.4368928,0.5631072
128557,0.43707734,0.56292266
6475823,0.43761927,0.56238073
10400520,0.43763173,0.5623683
14430355,0.43766224,0.56233776
331904,0.43766224,0.56233776
15612862,0.43770093,0.5622991
14806063,0.43772984,0.56227016
196710,0.43772984,0.56227016
97480,0.43799865,0.56200135
6566064,0.43799865,0.56200135
23617998,0.43799865,0.56200135
18881,0.43799865,0.56200135
7099911,0.43799865,0.56200135
71314761,0.43806565,0.56193435
57368268,0.43834347,0.56165653
333596,0.43834817,0.5616518
512134,0.43834817,0.5616518
92264929,0.43834817,0.5616518
21721736,0.43843043,0.5615696
490628,0.43912095,0.56087905
15410715,0.43917525,0.56082475
71229475,0.43942833,0.5605717
265298,0.43972945,0.56027055
10403118,0.43972945,0.56027055
154701266,0.43976462,0.5602354
490440,0.43984997,0.56015
513206,0.43997526,0.56002474
15926749,0.4400456,0.5599544
15926748,0.4400456,0.5599544
511886,0.44009745,0.55990255
10716626,0.44012123,0.55987877
92236348,0.44021064,0.55978936
6595777,0.44042593,0.55957407
96547,0.44042593,0.55957407
54357487,0.44061583,0.55938417
10730382,0.44113857,0.55886143
131850520,0.44119376,0.55880624
27191376,0.44144148,0.5585585
124428631,0.44144148,0.5585585
92132205,0.44144148,0.5585585
45039580,0.44144148,0.5585585
29982343,0.44144148,0.5585585
107502,0.44144148,0.5585585
92246004,0.44212025,0.55787975
3010384,0.44212025,0.55787975
92236367,0.44243103,0.55756897
92236370,0.44243103,0.55756897
267645,0.44243103,0.55756897
15480629,0.44243103,0.55756897
92243975,0.44298893,0.55701107
10946114,0.44308692,0.5569131
3009860,0.44319862,0.5568014
131883949,0.44332844,0.55667156
131858038,0.44332844,0.55667156
92266557,0.44332844,0.55667156
54571321,0.44369936,0.55630064
50989564,0.44450766,0.55549234
53763859,0.44450766,0.55549234
227045,0.44450766,0.55549234
15612716,0.44450766,0.55549234
101418,0.44450766,0.55549234
56627067,0.44450766,0.55549234
69538220,0.44453448,0.5554655
14408976,0.44558686,0.55441314
464375,0.44642782,0.5535722
139025305,0.4465735,0.5534265
11243974,0.44658947,0.55341053
54475355,0.44711256,0.55288744
121486742,0.4471528,0.5528472
11001292,0.44783497,0.55216503
49784134,0.44787872,0.5521213
6575102,0.44795722,0.5520428
3010379,0.44802028,0.5519797
266349,0.44802028,0.5519797
135618021,0.44843102,0.551569
5273013,0.4488781,0.5511219
71431122,0.44891196,0.55108804
126969176,0.44891196,0.55108804
53968525,0.44907945,0.55092055
9883190,0.44924444,0.55075556
5270727,0.44931376,0.55068624
92265647,0.44941872,0.5505813
4399980,0.44941872,0.5505813
506146,0.45016766,0.54983234
16094546,0.45050478,0.5494952
58451159,0.45058733,0.54941267
124565863,0.45058733,0.54941267
492561,0.45166302,0.548337
266939,0.45172143,0.54827857
7075697,0.45172143,0.54827857
11324342,0.45237517,0.5476248
350902,0.45259833,0.54740167
15160100,0.45259833,0.54740167
137218731,0.4530471,0.5469529
73442717,0.4533438,0.5466562
92230799,0.4533438,0.5466562
67841222,0.4533738,0.5466262
67841326,0.4533738,0.5466262
5273505,0.45399898,0.546001
121486876,0.45406884,0.54593116
472825,0.454117,0.545883
503006,0.454117,0.545883
3011894,0.4542492,0.5457508
21854299,0.4544354,0.5455646
126968624,0.4544354,0.5455646
100327,0.45446187,0.5455381
324309,0.45446187,0.5455381
469074,0.4545369,0.5454631
5278278,0.45479304,0.54520696
510978,0.45504373,0.54495627
14430336,0.455163,0.544837
512131,0.4568686,0.5431314
97199,0.4568686,0.5431314
444171,0.45688283,0.54311717
77844502,0.45714784,0.54285216
