cid,Probability of not Antimicrobial,Probability of Antimicrobial
448231,0.8510312086600536,0.1489687913399465
5273019,0.851150501767814,0.14884949823218596
286012,0.8513333217617653,0.1486666782382347
54489690,0.8518683203019944,0.14813167969800556
3011901,0.8518903904070655,0.1481096095929345
101658091,0.8522790477678154,0.1477209522321846
71360057,0.8526113847254068,0.1473886152745932
129570363,0.8528153617350807,0.1471846382649193
21037538,0.8533929673978757,0.1466070326021242
3467231,0.8534582525272378,0.14654174747276222
841985,0.8534582525272385,0.1465417474727615
489477,0.8534868576921641,0.14651314230783583
21124038,0.8535628960896365,0.14643710391036346
21115127,0.8538629971747682,0.14613700282523184
72265,0.8538629971747704,0.1461370028252295
452055,0.8538629971747704,0.1461370028252295
13988994,0.8538629971747704,0.1461370028252295
98519907,0.8540721836957365,0.14592781630426357
21854257,0.8540721836957365,0.14592781630426357
90673795,0.8541830543699463,0.14581694563005362
280444,0.8546241203229965,0.14537587967700355
9881866,0.8546241203229974,0.14537587967700263
6479521,0.8548114312774988,0.14518856872250122
121486893,0.8550039321808306,0.14499606781916943
10807167,0.8557334729687076,0.14426652703129242
122360561,0.8560951772460466,0.14390482275395347
452771,0.8568075719630043,0.1431924280369957
71352378,0.8574210052690269,0.1425789947309731
15410715,0.857661896451444,0.14233810354855606
59048458,0.8580651912649265,0.14193480873507347
92024153,0.8582295380799594,0.14177046192004067
11507134,0.8582295380799636,0.14177046192003634
137699531,0.8584430673857114,0.14155693261428856
447069,0.8587569008523429,0.1412430991476571
129287424,0.8588969883523343,0.14110301164766575
155906019,0.8589927054207199,0.14100729457928007
513276,0.8590998439534082,0.14090015604659176
9948218,0.8591759660453624,0.14082403395463766
10869630,0.8593270485721454,0.14067295142785463
513474,0.8595790430548296,0.14042095694517043
215493,0.8596910516373658,0.1403089483626342
131846685,0.8598272137214057,0.14017278627859428
131846683,0.8598272137214057,0.14017278627859428
262974,0.8598272137214065,0.14017278627859353
71402706,0.8601817099564361,0.13981829004356391
121486788,0.8608111401574523,0.1391888598425477
124301793,0.8609198418017829,0.13908015819821704
228966,0.8609198418017833,0.13908015819821673
121217041,0.8613693707580319,0.13863062924196817
458027,0.8614690717373155,0.13853092826268448
13248213,0.8617347422339755,0.13826525776602447
13248214,0.8617347422339784,0.1382652577660216
515109,0.862665227274056,0.13733477272594402
71302591,0.862678807015871,0.13732119298412904
452052,0.8630019883140989,0.13699801168590114
452050,0.8630019883140989,0.13699801168590114
57368270,0.8635029682530115,0.13649703174698852
